"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4331","TC-UI-REG-005: 注册-FirstName为空","tests","2026-08-27","passed","2026-08-27","TestRegisterUI","test_register_ui","",""
"","5266","TC-UI-LOGIN-006: 登录-SQL注入防护","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","9998","TC-UI-LOGIN-007: 登录-响应时间验证","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","5114","TC-UI-REG-002: 注册-邮箱已存在","tests","2026-08-27","passed","2026-08-27","TestRegisterUI","test_register_ui","",""
"测试步骤：用户登录→搜索MacBook商品→加入购物车→进入结算页→选择地址、配送、支付方式，完成订单提交","36083","TC-UI-CHECKOUT-001：登录-搜索商品-加购-结算下单正向流程","tests","2026-08-27","passed","2026-08-27","TestCheckoutUI","test_checkout_ui","",""
"","4136","TC-UI-LOGIN-005: 登录-密码为空","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","5194","TC-UI-REG-001: 注册-正向","tests","2026-08-27","passed","2026-08-27","TestRegisterUI","test_register_ui","",""
"","4675","TC-UI-REG-004: 注册-密码小于6位","tests","2026-08-27","passed","2026-08-27","TestRegisterUI","test_register_ui","",""
"","4997","TC-UI-LOGIN-002: 登录-错误密码","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","5077","TC-UI-REG-003: 注册-邮箱格式无效","tests","2026-08-27","passed","2026-08-27","TestRegisterUI","test_register_ui","",""
"","10861","TC-UI-LOGIN-001: 登录-正向正常登录","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","5159","TC-UI-LOGIN-003: 登录-不存在邮箱","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","3277","TC-UI-LOGIN-004: 登录-邮箱为空","tests","2026-08-27","passed","2026-08-27","TestLoginUI","test_login_ui","",""
"","3557","TC-UI-REG-006: 注册-未勾选隐私政策","tests","2026-08-27","passed","2026-08-27","TestRegisterUI","test_register_ui","",""
